ID,Marital Status,Gender,Income,Children,Parent,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age Brackets,Purchased Bike
25502,Married,Female,"$40,000.00",1,Yes,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Middle Aged,Yes
15580,Married,Male,"$60,000.00",2,Yes,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,38,Middle Aged,Yes
16713,Married,Male,"$40,000.00",2,Yes,Bachelors,Management,Yes,1,0-1 Miles,Pacific,52,Middle Aged,Yes
14927,Married,Female,"$30,000.00",1,Yes,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,37,Middle Aged,Yes
29355,Married,Female,"$40,000.00",0,No,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Middle Aged,Yes
25303,Single,Male,"$30,000.00",0,No,High School,Manual,Yes,1,2-5 Miles,Europe,33,Middle Aged,Yes
14813,Single,Female,"$20,000.00",4,Yes,High School,Manual,Yes,1,0-1 Miles,Europe,43,Middle Aged,Yes
14238,Married,Male,"$120,000.00",0,No,Partial High School,Professional,Yes,4,10 Miles +,Pacific,36,Middle Aged,Yes
26956,Single,Female,"$20,000.00",0,No,Partial College,Manual,No,1,2-5 Miles,Europe,36,Middle Aged,Yes
27969,Married,Male,"$80,000.00",0,No,Bachelors,Professional,Yes,2,10 Miles +,Pacific,29,Adolescent,Yes
15752,Married,Male,"$80,000.00",2,Yes,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Middle Aged,Yes
27745,Single,Male,"$40,000.00",2,Yes,Bachelors,Management,Yes,2,5-10 Miles,Pacific,63,Old,Yes
20828,Married,Female,"$30,000.00",4,Yes,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,Middle Aged,Yes
26941,Married,Male,"$30,000.00",0,No,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Middle Aged,Yes
24485,Single,Male,"$40,000.00",2,Yes,Bachelors,Management,No,1,5-10 Miles,Pacific,52,Middle Aged,Yes
16514,Single,Male,"$10,000.00",0,No,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,Adolescent,Yes
17191,Single,Male,"$130,000.00",3,Yes,Partial College,Professional,No,3,0-1 Miles,Europe,51,Middle Aged,Yes
25458,Married,Male,"$20,000.00",1,Yes,High School,Manual,No,1,1-2 Miles,Europe,40,Middle Aged,Yes
26886,Single,Female,"$30,000.00",0,No,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Adolescent,Yes
28436,Single,Male,"$30,000.00",0,No,Partial College,Clerical,No,1,0-1 Miles,Europe,30,Adolescent,Yes
19562,Single,Female,"$60,000.00",2,Yes,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,Middle Aged,Yes
23940,Married,Male,"$40,000.00",1,Yes,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,44,Middle Aged,Yes
19441,Married,Male,"$40,000.00",0,No,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,25,Adolescent,Yes
20236,Single,Male,"$60,000.00",3,Yes,Bachelors,Professional,No,2,0-1 Miles,Pacific,43,Middle Aged,Yes
18491,Single,Female,"$70,000.00",2,Yes,High School,Professional,Yes,2,5-10 Miles,Pacific,49,Middle Aged,Yes
20430,Married,Male,"$70,000.00",2,Yes,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Middle Aged,Yes
27494,Single,Female,"$40,000.00",2,Yes,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,53,Middle Aged,Yes
26829,Married,Female,"$40,000.00",0,No,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Middle Aged,Yes
28395,Single,Male,"$40,000.00",0,No,Bachelors,Professional,No,0,0-1 Miles,Europe,39,Middle Aged,Yes
21006,Single,Female,"$30,000.00",1,Yes,Partial College,Manual,No,0,0-1 Miles,Europe,46,Middle Aged,Yes
29191,Single,Female,"$130,000.00",1,Yes,Graduate Degree,Management,No,1,0-1 Miles,Pacific,36,Middle Aged,Yes
15030,Married,Male,"$20,000.00",0,No,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,26,Adolescent,Yes
24140,Single,Male,"$10,000.00",0,No,Graduate Degree,Manual,No,0,0-1 Miles,Europe,30,Adolescent,Yes
24065,Single,Female,"$20,000.00",0,No,High School,Manual,Yes,0,0-1 Miles,Europe,40,Middle Aged,Yes
22988,Married,Female,"$40,000.00",2,Yes,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Old,Yes
27775,Single,Female,"$40,000.00",0,No,Bachelors,Clerical,No,0,0-1 Miles,Europe,38,Middle Aged,Yes
20970,Single,Male,"$10,000.00",2,Yes,Partial College,Manual,Yes,1,0-1 Miles,Europe,52,Middle Aged,Yes
26818,Single,Male,"$10,000.00",3,Yes,High School,Manual,Yes,1,0-1 Miles,Europe,39,Middle Aged,Yes
14192,Married,Male,"$90,000.00",4,Yes,High School,Management,Yes,3,5-10 Miles,Europe,56,Old,Yes
19477,Married,Male,"$40,000.00",0,No,Bachelors,Professional,Yes,0,0-1 Miles,Europe,40,Middle Aged,Yes
26796,Single,Male,"$40,000.00",2,Yes,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Old,Yes
28683,Single,Female,"$10,000.00",1,Yes,High School,Manual,No,1,5-10 Miles,Europe,35,Middle Aged,Yes
24273,Married,Female,"$20,000.00",2,Yes,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,Old,Yes
26547,Single,Female,"$30,000.00",2,Yes,Partial College,Clerical,No,2,5-10 Miles,Pacific,60,Old,Yes
22500,Single,Male,"$40,000.00",0,No,Bachelors,Professional,No,0,0-1 Miles,Europe,40,Middle Aged,Yes
23993,Single,Female,"$10,000.00",0,No,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Adolescent,Yes
14832,Married,Male,"$40,000.00",1,Yes,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Middle Aged,Yes
20877,Single,Male,"$30,000.00",1,Yes,Bachelors,Clerical,Yes,0,1-2 Miles,Europe,37,Middle Aged,Yes
22464,Married,Male,"$40,000.00",0,No,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Middle Aged,Yes
19475,Married,Female,"$40,000.00",0,No,Bachelors,Professional,No,0,0-1 Miles,Europe,40,Middle Aged,Yes
26154,Married,Male,"$60,000.00",1,Yes,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,43,Middle Aged,Yes
14798,Single,Female,"$10,000.00",4,Yes,Partial High School,Manual,Yes,2,0-1 Miles,Europe,41,Middle Aged,Yes
25605,Single,Female,"$20,000.00",2,Yes,Partial College,Manual,No,1,0-1 Miles,Europe,54,Middle Aged,Yes
21980,Single,Female,"$60,000.00",1,Yes,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,44,Middle Aged,Yes
25460,Married,Female,"$20,000.00",2,Yes,High School,Manual,Yes,0,0-1 Miles,Europe,40,Middle Aged,Yes
29181,Single,Female,"$60,000.00",2,Yes,Bachelors,Professional,No,1,0-1 Miles,Pacific,38,Middle Aged,Yes
22402,Married,Male,"$10,000.00",0,No,Partial College,Manual,Yes,1,2-5 Miles,Pacific,25,Adolescent,Yes
26757,Single,Male,"$90,000.00",1,Yes,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Middle Aged,Yes
14058,Single,Male,"$70,000.00",0,No,Bachelors,Professional,No,1,5-10 Miles,Pacific,41,Middle Aged,Yes
17203,Married,Female,"$130,000.00",4,Yes,Partial College,Professional,Yes,4,5-10 Miles,Europe,61,Old,Yes
19442,Single,Male,"$50,000.00",0,No,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,37,Middle Aged,Yes
17504,Single,Female,"$80,000.00",2,Yes,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Middle Aged,Yes
12253,Single,Female,"$20,000.00",0,No,Partial College,Manual,Yes,0,0-1 Miles,Pacific,29,Adolescent,Yes
14191,Married,Male,"$160,000.00",4,Yes,Partial College,Professional,No,2,10 Miles +,Europe,55,Old,Yes
12212,Married,Female,"$10,000.00",0,No,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,Middle Aged,Yes
22170,Married,Female,"$30,000.00",3,Yes,Partial College,Clerical,No,2,1-2 Miles,Pacific,55,Old,Yes
15265,Single,Male,"$40,000.00",2,Yes,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Old,Yes
15799,Married,Female,"$90,000.00",1,Yes,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Middle Aged,Yes
11047,Married,Female,"$30,000.00",3,Yes,High School,Skilled Manual,No,2,1-2 Miles,Pacific,56,Old,Yes
20606,Married,Female,"$70,000.00",0,No,Bachelors,Professional,Yes,4,10 Miles +,Pacific,32,Middle Aged,Yes
19482,Married,Male,"$30,000.00",1,Yes,Partial College,Clerical,Yes,1,0-1 Miles,Europe,44,Middle Aged,Yes
26944,Single,Male,"$90,000.00",2,Yes,High School,Manual,Yes,0,0-1 Miles,Europe,36,Middle Aged,Yes
25559,Single,Male,"$20,000.00",0,No,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,25,Adolescent,Yes
11147,Married,Male,"$60,000.00",2,Yes,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,67,Old,Yes
15214,Single,Female,"$100,000.00",0,No,Graduate Degree,Management,No,1,1-2 Miles,Pacific,39,Middle Aged,Yes
11453,Single,Male,"$80,000.00",0,No,Bachelors,Professional,No,3,10 Miles +,Pacific,33,Middle Aged,Yes
12585,Married,Male,"$10,000.00",1,Yes,High School,Manual,Yes,0,2-5 Miles,Pacific,27,Adolescent,Yes
18626,Single,Male,"$40,000.00",2,Yes,Partial College,Clerical,Yes,0,1-2 Miles,Europe,33,Middle Aged,Yes
29298,Single,Female,"$60,000.00",1,Yes,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Middle Aged,Yes
15657,Married,Male,"$30,000.00",3,Yes,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,46,Middle Aged,Yes
28729,Single,Female,"$20,000.00",0,No,Partial High School,Manual,Yes,2,1-2 Miles,Europe,26,Adolescent,Yes
22633,Single,Female,"$40,000.00",0,No,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Middle Aged,Yes
25649,Single,Female,"$30,000.00",3,Yes,Partial College,Clerical,Yes,0,0-1 Miles,Europe,42,Middle Aged,Yes
19299,Married,Female,"$50,000.00",0,No,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36,Middle Aged,Yes
11451,Single,Male,"$70,000.00",0,No,Bachelors,Professional,No,4,10 Miles +,Pacific,31,Middle Aged,Yes
25553,Married,Male,"$30,000.00",1,Yes,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,Old,Yes
27951,Single,Male,"$80,000.00",4,Yes,Partial College,Professional,No,2,2-5 Miles,Europe,54,Middle Aged,Yes
22399,Single,Male,"$10,000.00",0,No,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,Adolescent,Yes
27696,Married,Male,"$60,000.00",1,Yes,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,43,Middle Aged,Yes
12833,Single,Female,"$20,000.00",3,Yes,High School,Manual,Yes,1,0-1 Miles,Europe,42,Middle Aged,Yes
14777,Married,Female,"$40,000.00",0,No,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Middle Aged,Yes
24174,Married,Male,"$20,000.00",0,No,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,27,Adolescent,Yes
24611,Single,Male,"$90,000.00",0,No,Bachelors,Professional,No,4,10 Miles +,Pacific,35,Middle Aged,Yes
11340,Married,Female,"$10,000.00",1,Yes,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70,Old,Yes
25693,Single,Female,"$30,000.00",5,Yes,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,44,Middle Aged,Yes
25555,Married,Female,"$10,000.00",0,No,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Adolescent,Yes
20060,Single,Female,"$30,000.00",0,No,High School,Manual,No,1,2-5 Miles,Europe,34,Middle Aged,Yes
23908,Single,Male,"$30,000.00",1,Yes,Bachelors,Clerical,No,1,0-1 Miles,Europe,39,Middle Aged,Yes
19057,Married,Female,"$120,000.00",3,Yes,Bachelors,Management,No,2,10 Miles +,Europe,52,Middle Aged,Yes
18494,Married,Male,"$110,000.00",5,Yes,Bachelors,Management,Yes,4,2-5 Miles,Pacific,48,Middle Aged,Yes
11249,Married,Female,"$130,000.00",3,Yes,Partial College,Professional,Yes,3,0-1 Miles,Europe,51,Middle Aged,Yes
21568,Married,Female,"$100,000.00",0,No,High School,Management,Yes,4,10 Miles +,Pacific,34,Middle Aged,Yes
23432,Single,Male,"$70,000.00",0,No,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,37,Middle Aged,Yes
22931,Married,Male,"$100,000.00",5,Yes,Graduate Degree,Management,No,1,1-2 Miles,Pacific,78,Old,Yes
20598,Married,Male,"$100,000.00",3,Yes,Partial High School,Professional,Yes,0,10 Miles +,Europe,59,Old,Yes
20839,Single,Female,"$30,000.00",3,Yes,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,47,Middle Aged,Yes
14164,Single,Female,"$50,000.00",0,No,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36,Middle Aged,Yes
12705,Married,Male,"$150,000.00",0,No,Bachelors,Management,Yes,4,0-1 Miles,Pacific,37,Middle Aged,Yes
26219,Married,Female,"$40,000.00",1,Yes,Bachelors,Skilled Manual,Yes,1,1-2 Miles,Europe,33,Middle Aged,Yes
17964,Married,Male,"$40,000.00",0,No,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Middle Aged,Yes
13133,Single,Male,"$100,000.00",5,Yes,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,47,Middle Aged,Yes
21039,Single,Female,"$50,000.00",0,No,Graduate Degree,Skilled Manual,No,0,0-1 Miles,Europe,37,Middle Aged,Yes
12231,Single,Female,"$10,000.00",2,Yes,Partial College,Manual,Yes,0,0-1 Miles,Europe,51,Middle Aged,Yes
24061,Married,Male,"$10,000.00",4,Yes,Partial High School,Manual,Yes,1,0-1 Miles,Europe,40,Middle Aged,Yes
12284,Married,Female,"$30,000.00",0,No,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,Middle Aged,Yes
26654,Married,Female,"$90,000.00",1,Yes,Graduate Degree,Management,Yes,0,0-1 Miles,Pacific,37,Middle Aged,Yes
24201,Married,Female,"$10,000.00",2,Yes,High School,Manual,Yes,0,0-1 Miles,Europe,37,Middle Aged,Yes
20625,Married,Male,"$100,000.00",0,No,High School,Management,Yes,3,10 Miles +,Pacific,35,Middle Aged,Yes
16390,Single,Male,"$30,000.00",1,Yes,Bachelors,Clerical,No,0,0-1 Miles,Europe,38,Middle Aged,Yes
24187,Single,Female,"$30,000.00",3,Yes,Graduate Degree,Clerical,No,0,0-1 Miles,Europe,46,Middle Aged,Yes
29094,Married,Male,"$30,000.00",3,Yes,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,54,Middle Aged,Yes
28319,Single,Female,"$60,000.00",1,Yes,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,46,Middle Aged,Yes
16406,Married,Male,"$40,000.00",0,No,Bachelors,Clerical,No,0,0-1 Miles,Europe,38,Middle Aged,Yes
20923,Married,Female,"$40,000.00",1,Yes,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Middle Aged,Yes
11378,Single,Female,"$10,000.00",1,Yes,High School,Manual,No,1,2-5 Miles,Europe,46,Middle Aged,Yes
20851,Single,Male,"$20,000.00",0,No,Partial College,Manual,No,1,2-5 Miles,Europe,36,Middle Aged,Yes
21557,Single,Female,"$110,000.00",0,No,Partial College,Management,Yes,3,10 Miles +,Pacific,32,Middle Aged,Yes
26663,Single,Female,"$60,000.00",2,Yes,Bachelors,Professional,No,1,0-1 Miles,Pacific,39,Middle Aged,Yes
11896,Married,Male,"$100,000.00",1,Yes,Graduate Degree,Management,Yes,0,2-5 Miles,Pacific,36,Middle Aged,Yes
14189,Married,Female,"$90,000.00",4,Yes,High School,Professional,No,2,2-5 Miles,Europe,54,Middle Aged,Yes
17926,Single,Female,"$40,000.00",0,No,Bachelors,Clerical,No,0,0-1 Miles,Pacific,28,Adolescent,Yes
26928,Single,Male,"$30,000.00",1,Yes,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,62,Old,Yes
28207,Married,Male,"$80,000.00",4,Yes,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36,Middle Aged,Yes
11000,Married,Male,"$90,000.00",2,Yes,Bachelors,Professional,Yes,0,1-2 Miles,Pacific,40,Middle Aged,Yes
28758,Married,Male,"$40,000.00",2,Yes,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Middle Aged,Yes
11381,Married,Female,"$20,000.00",2,Yes,Partial College,Manual,Yes,1,2-5 Miles,Europe,47,Middle Aged,Yes
28102,Married,Male,"$20,000.00",4,Yes,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,58,Old,Yes
23105,Single,Male,"$40,000.00",3,Yes,Partial High School,Clerical,No,2,5-10 Miles,Pacific,52,Middle Aged,Yes
18740,Married,Male,"$80,000.00",5,Yes,Bachelors,Professional,No,1,0-1 Miles,Pacific,47,Middle Aged,Yes
17352,Married,Male,"$50,000.00",2,Yes,Graduate Degree,Management,Yes,1,5-10 Miles,Pacific,64,Old,Yes
14154,Married,Male,"$30,000.00",0,No,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,35,Middle Aged,Yes
20228,Married,Male,"$100,000.00",0,No,Graduate Degree,Management,Yes,0,2-5 Miles,Pacific,40,Middle Aged,Yes
16675,Single,Female,"$160,000.00",0,No,Graduate Degree,Management,No,3,0-1 Miles,Pacific,47,Middle Aged,Yes
16410,Single,Female,"$10,000.00",4,Yes,Partial High School,Manual,Yes,2,0-1 Miles,Europe,41,Middle Aged,Yes
27760,Single,Female,"$40,000.00",0,No,Graduate Degree,Clerical,No,0,0-1 Miles,Europe,37,Middle Aged,Yes
22930,Married,Male,"$90,000.00",4,Yes,Bachelors,Professional,Yes,0,1-2 Miles,Pacific,38,Middle Aged,Yes
23780,Single,Male,"$40,000.00",2,Yes,Partial College,Clerical,No,2,0-1 Miles,Europe,36,Middle Aged,Yes
20994,Married,Female,"$20,000.00",0,No,Bachelors,Clerical,No,0,0-1 Miles,Pacific,26,Adolescent,Yes
11489,Single,Female,"$20,000.00",0,No,Partial High School,Manual,No,2,1-2 Miles,Europe,35,Middle Aged,Yes
18160,Married,Male,"$130,000.00",3,Yes,High School,Professional,Yes,4,5-10 Miles,Europe,51,Middle Aged,Yes
15926,Single,Female,"$120,000.00",3,Yes,High School,Professional,Yes,4,5-10 Miles,Europe,50,Middle Aged,Yes
19174,Single,Female,"$30,000.00",0,No,High School,Manual,No,1,2-5 Miles,Europe,32,Middle Aged,Yes
17848,Single,Male,"$30,000.00",0,No,Partial College,Clerical,No,1,2-5 Miles,Europe,31,Middle Aged,Yes
17894,Married,Female,"$20,000.00",1,Yes,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,50,Middle Aged,Yes
25651,Married,Male,"$40,000.00",1,Yes,Bachelors,Skilled Manual,No,0,0-1 Miles,Europe,43,Middle Aged,Yes
22936,Single,Female,"$60,000.00",1,Yes,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,Middle Aged,Yes
24121,Single,Female,"$30,000.00",0,No,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Adolescent,Yes
27878,Single,Male,"$20,000.00",0,No,Partial College,Manual,No,0,0-1 Miles,Pacific,28,Adolescent,Yes
13572,Single,Male,"$10,000.00",3,Yes,High School,Manual,Yes,0,0-1 Miles,Europe,37,Middle Aged,Yes
26354,Single,Male,"$40,000.00",0,No,Graduate Degree,Clerical,No,0,0-1 Miles,Europe,38,Middle Aged,Yes
23608,Married,Female,"$150,000.00",3,Yes,High School,Professional,Yes,3,0-1 Miles,Europe,51,Middle Aged,Yes
12332,Married,Male,"$90,000.00",4,Yes,High School,Management,Yes,3,5-10 Miles,Europe,58,Old,Yes
13082,Single,Male,"$130,000.00",0,No,Graduate Degree,Management,Yes,0,2-5 Miles,Pacific,48,Middle Aged,Yes
22518,Single,Female,"$30,000.00",3,Yes,Partial College,Clerical,No,2,0-1 Miles,Europe,27,Adolescent,Yes
13687,Married,Male,"$40,000.00",1,Yes,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,33,Middle Aged,Yes
23571,Married,Female,"$40,000.00",2,Yes,Bachelors,Management,Yes,2,0-1 Miles,Pacific,66,Old,Yes
19305,Single,Female,"$10,000.00",2,Yes,High School,Manual,Yes,1,0-1 Miles,Europe,38,Middle Aged,Yes
22636,Single,Female,"$40,000.00",0,No,Bachelors,Clerical,No,0,0-1 Miles,Europe,38,Middle Aged,Yes
17310,Married,Male,"$60,000.00",1,Yes,Partial College,Skilled Manual,Yes,1,0-1 Miles,Pacific,45,Middle Aged,Yes
12133,Married,Female,"$130,000.00",3,Yes,Partial College,Professional,Yes,3,5-10 Miles,Europe,50,Middle Aged,Yes
25918,Single,Female,"$30,000.00",2,Yes,Partial College,Clerical,No,2,5-10 Miles,Pacific,60,Old,Yes
25752,Single,Female,"$20,000.00",2,Yes,Partial College,Manual,No,1,0-1 Miles,Europe,53,Middle Aged,Yes
12510,Married,Male,"$40,000.00",1,Yes,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,43,Middle Aged,Yes
20977,Married,Male,"$20,000.00",1,Yes,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,64,Old,Yes
18140,Married,Male,"$130,000.00",3,Yes,Partial College,Professional,No,3,5-10 Miles,Europe,51,Middle Aged,Yes
13620,Single,Male,"$70,000.00",0,No,Bachelors,Professional,No,3,10 Miles +,Pacific,30,Adolescent,Yes
17978,Married,Male,"$40,000.00",0,No,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Middle Aged,Yes
12581,Single,Female,"$10,000.00",0,No,Partial College,Manual,No,1,0-1 Miles,Pacific,28,Adolescent,Yes
28957,Single,Female,"$120,000.00",0,No,Partial High School,Professional,Yes,4,10 Miles +,Pacific,34,Middle Aged,Yes
13690,Single,Female,"$20,000.00",0,No,Partial High School,Manual,No,2,1-2 Miles,Europe,34,Middle Aged,Yes
13122,Married,Female,"$80,000.00",0,No,Bachelors,Professional,Yes,1,1-2 Miles,Pacific,41,Middle Aged,Yes
26150,Single,Female,"$70,000.00",0,No,Bachelors,Professional,No,1,0-1 Miles,Pacific,41,Middle Aged,Yes
17793,Married,Female,"$40,000.00",0,No,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Middle Aged,Yes
14926,Married,Male,"$30,000.00",1,Yes,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Middle Aged,Yes
16163,Single,Male,"$60,000.00",2,Yes,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,38,Middle Aged,Yes
27771,Single,Male,"$30,000.00",1,Yes,Bachelors,Clerical,Yes,1,1-2 Miles,Europe,39,Middle Aged,Yes
26167,Single,Female,"$40,000.00",2,Yes,Bachelors,Management,No,1,5-10 Miles,Pacific,53,Middle Aged,Yes
22174,Married,Male,"$30,000.00",3,Yes,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,54,Middle Aged,Yes
22439,Married,Female,"$30,000.00",0,No,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,37,Middle Aged,Yes
27582,Single,Female,"$90,000.00",2,Yes,Bachelors,Professional,No,0,0-1 Miles,Pacific,36,Middle Aged,Yes
20171,Married,Female,"$20,000.00",2,Yes,Partial College,Manual,Yes,1,0-1 Miles,Europe,46,Middle Aged,Yes
